scrip_code,isin,symbol,nse_symbol,company,group,market_cap_cr,market_cap_category,market_cap_date,macro_sector,sector,industry,basic_industry,primary_index,added_date,last_updated
500002,INE117A01022,ABB,ABB,ABB India Limited,A,136986.05,Large Cap,2026-03-13,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,NIFTY INFRASTRUCTURE,2026-03-13,2026-03-13
500003,INE208C01025,AEGISLOG,AEGISLOG,Aegis Logistics Ltd.,A,21739.19,Small Cap,2026-03-13,Energy,Oil Gas & Consumable Fuels,Gas,Trading - Gas,-,2026-03-13,2026-03-13
500008,INE885A01032,ARE&M,ARE&M,Amara Raja Energy & Mobility Limited,A,14306.18,Small Cap,2026-03-13,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,-,2026-03-13,2026-03-13
500020,INE032A01023,BOMDYEING,BOMDYEING,Bombay Dyeing & Mfg. Co. Ltd.,A,2207.86,Micro Cap,2026-03-13,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,NIFTY 500,2026-03-13,2026-03-13
500027,INE100A01010,ATUL,ATUL,Atul Limited.,A,18218.12,Small Cap,2026-03-13,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,NIFTY 500,2026-03-13,2026-03-13
500031,INE193E01025,BAJAJELEC,BAJAJELEC,Bajaj Electricals Ltd.,A,4315.53,Micro Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,NIFTY INDIA CONSUMPTION,2026-03-13,2026-03-13
500032,INE306A01021,BAJAJHIND,BAJAJHIND,Bajaj Hindusthan Sugar Limited,A,2094.87,Micro Cap,2026-03-13,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,-,2026-03-13,2026-03-13
500033,INE451A01017,FORCEMOT,FORCEMOT,Force Motors Limited,A,27245.28,Small Cap,2026-03-13,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,-,2026-03-13,2026-03-13
500034,INE296A01032,BAJFINANCE,BAJFINANCE,Bajaj Finance Limited,A,536004.82,Large Cap,2026-03-13,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),NIFTY FINANCIAL SERVICES,2026-03-13,2026-03-13
500038,INE119A01028,BALRAMCHIN,BALRAMCHIN,Balrampur Chini Mills Ltd.,A,10145.99,Micro Cap,2026-03-13,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,NIFTY FMCG,2026-03-13,2026-03-13
500039,INE213C01025,BANCOINDIA,BANCOINDIA,Banco Products (India) Ltd.,A,7937.14,Micro Cap,2026-03-13,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,NIFTY AUTO,2026-03-13,2026-03-13
500040,INE055A01016,ABREL,ABREL,ADITYA BIRLA REAL ESTATE LIMITED,A,13109.72,Small Cap,2026-03-13,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products,-,2026-03-13,2026-03-13
500042,INE373A01013,BASF,BASF,BASF India Ltd,A,14945.45,Small Cap,2026-03-13,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,NIFTY 500,2026-03-13,2026-03-13
500043,INE176A01028,BATAINDIA,BATAINDIA,Bata India Limited,A,9067.62,Micro Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,NIFTY 500,2026-03-13,2026-03-13
500048,INE258A01024,BEML,BEML,BEML Ltd,A,13050.14,Small Cap,2026-03-13,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles,NIFTY 500,2026-03-13,2026-03-13
500049,INE263A01024,BEL,BEL,Bharat Electronics Ltd.,A,323530.81,Large Cap,2026-03-13,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,NIFTY 500,2026-03-13,2026-03-13
500067,INE472A01039,BLUESTARCO,BLUESTARCO,Blue Star Ltd,A,38206.31,Mid Cap,2026-03-13,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,NIFTY INDIA CONSUMPTION,2026-03-13,2026-03-13
500084,INE486A01021,CESC,CESC,CESC Limited,A,21335.06,Small Cap,2026-03-13,Utilities,Power,Power,Integrated Power Utilities,NIFTY INFRASTRUCTURE,2026-03-13,2026-03-13
500085,INE085A01013,CHAMBLFERT,CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,A,16987.66,Small Cap,2026-03-13,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,NIFTY 500,2026-03-13,2026-03-13
500086,INE302A01020,EXIDEIND,EXIDEIND,Exide Industries Ltd.,A,25797.5,Small Cap,2026-03-13,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,NIFTY 500,2026-03-13,2026-03-13
500087,INE059A01026,CIPLA,CIPLA,Cipla Ltd.,A,106223.16,Large Cap,2026-03-13,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,NIFTY PHARMA,2026-03-13,2026-03-13
500092,INE007A01025,CRISIL,CRISIL,CRISIL Ltd.,A,30572.73,Small Cap,2026-03-13,Financial Services,Financial Services,Finance,Other Financial Services,NIFTY 500,2026-03-13,2026-03-13
